,model,ablation,predicted,fold,fold_id,type,dataType,subject,joint,polDegree,FNO_shuff,FNO_batch,FNO_nbMod,FNO_nbHC,FNO_maxIt,fitTime,posRMSE,velRMSE,posAAE,velAAE,tauRMSE,tauAAE,pErrMax,vErrMax,pErrStd,vErrStd,tauErrMax,tauErrStd
0,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S01_a,shoulder,,,,,,,0.0313310623168945,,0.0138013730005198,,0.0126924380354397,,,,0.029118344132942,,0.0138013624622696,,
1,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S01_a,elbow,,,,,,,0.0313310623168945,,0.0101159655894035,,0.0085951711725145,,,,0.0277098077477055,,0.0101156315985419,,
2,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S02_a,shoulder,,,,,,,0.0313310623168945,,0.0103868448991284,,0.0093546489297201,,,,0.0240583733548877,,0.0103859064627402,,
3,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S02_a,elbow,,,,,,,0.0313310623168945,,0.0072470372704743,,0.0060301519672908,,,,0.0252073950571195,,0.0072460605325906,,
4,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S04_a,shoulder,,,,,,,0.0313310623168945,,0.012173924657161,,0.0107119008499425,,,,0.0287544718977481,,0.0121736855959783,,
5,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S04_a,elbow,,,,,,,0.0313310623168945,,0.0110501336462506,,0.0092583701711091,,,,0.0300568723244916,,0.011044062633175,,
6,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S09_a,shoulder,,,,,,,0.0313310623168945,,0.0118257057150821,,0.0096914900872507,,,,0.0319651536504059,,0.011803472684036,,
7,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S09_a,elbow,,,,,,,0.0313310623168945,,0.0109123137409559,,0.0089545247799603,,,,0.0304678140273783,,0.0109053623640749,,
8,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S10_c,shoulder,,,,,,,0.0313310623168945,,0.0060101741541441,,0.004926248435542,,,,0.0194621950347053,,0.0060093353370846,,
9,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S10_c,elbow,,,,,,,0.0313310623168945,,0.0054389717344027,,0.004262793629263,,,,0.0245483710241873,,0.0054389396926974,,
10,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S11_c,shoulder,,,,,,,0.0313310623168945,,0.0062433487859787,,0.0051917033850615,,,,0.0200571371573506,,0.006239287470943,,
11,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S11_c,elbow,,,,,,,0.0313310623168945,,0.005250815905235,,0.0040932379443684,,,,0.019373878150186,,0.0052506775519645,,
12,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S12_c,shoulder,,,,,,,0.0313310623168945,,0.0055792899442002,,0.0046339371568041,,,,0.0155404323901599,,0.0055785798216955,,
13,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S12_c,elbow,,,,,,,0.0313310623168945,,0.0060769374608257,,0.0048637695837729,,,,0.0207332459792415,,0.006075859714896,,
14,MVLR,all_but_pos,vel,2-fold,fold1,train,FULL,S14_a,shoulder,,,,,,,0.0313310623168945,,0.0122188865663043,,0.0110449482339423,,,,0.0332748194839249,,0.0122102271656687,,
